"";"Municipios";"total";"65_mas";"porc_envejecido"
"395";"41008 Algámitas";1253;259;20,6703910614525
"396";"11003 Algar";1428;307;21,4985994397759
"397";"19016 Algar de Mesa";55;19;34,5454545454545
"398";"46028 Algar de Palancia";491;130;26,4765784114053
"399";"18012 Algarinejo";2467;725;29,3879205512769
"400";"16013 Algarra";24;10;41,6666666666667
"401";"29005 Algarrobo";6556;1385;21,1256863941428
"402";"29006 Algatocín";814;197;24,2014742014742
"403";"11004 Algeciras";123078;19705;16,0101724109914
"404";"46029 Algemesí";27430;4896;17,8490703609187
"405";"25015 Algerri";404;149;36,8811881188119
"406";"28009 Algete";20864;2653;12,7156825153374
"407";"46030 Algímia d'Alfara	";1053;264;25,0712250712251
"408";"12008 Algimia de Almonacid";262;106;40,4580152671756
"409";"46031 Alginet";13827;2371;17,1476097490417
"410";"11005 Algodonales";5506;1122;20,3777697057755
"411";"49006 Algodre";141;59;41,8439716312057
"412";"19017 Algora";66;31;46,969696969697
"413";"03012 Algorfa";3125;982;31,424
"414";"25016 Alguaire";3029;638;21,0630571145593
"415";"30007 Alguazas";9761;1340;13,7281016289315
"416";"03013 Algueña";1326;345;26,0180995475113
"417";"04010 Alhabia";677;138;20,384047267356
"418";"04011 Alhama de Almería";3691;692;18,7483066919534
"419";"50020 Alhama de Aragón";1011;250;24,7279920870425
"420";"18013 Alhama de Granada";5867;1086;18,5103119140958
"421";"30008 Alhama de Murcia";22160;3396;15,3249097472924
"422";"13010 Alhambra";1005;243;24,1791044776119
"423";"29007 Alhaurín de la Torre";41170;5285;12,8370172455672
"424";"29008 Alhaurín el Grande";25358;4067;16,0383310986671
"425";"18014 Alhendín";9509;994;10,4532548112315
"426";"19018 Alhóndiga";161;69;42,8571428571429
"427";"10017 Alía";816;290;35,5392156862745
"428";"44017 Aliaga";326;97;29,7546012269939
"429";"16014 Aliaguilla";632;212;33,5443037974684
"430";"03014 Alicante/Alacant";337482;64219;19,0288667247438
"431";"04012 Alicún";201;57;28,3582089552239
"432";"18015 Alicún de Ortega";471;110;23,3545647558386
"433";"24003 Alija del Infantado";629;305;48,489666136725
"434";"25017 Alins";272;81;29,7794117647059
"435";"43010 Alió";458;102;22,2707423580786
"436";"19019 Alique";14;11;78,5714285714286
"437";"10018 Aliseda";1777;485;27,2931907709623
"438";"42016 Aliud";20;7;35
"439";"21002 Aljaraque";21474;2287;10,650088479091
"440";"06009 Aljucén";250;56;22,4
"441";"20006 Alkiza";371;58;15,633423180593
"442";"33001 Allande";1615;629;38,9473684210526
"443";"32001 Allariz";6245;1585;25,3803042433947
"444";"44021 Allepuz";124;46;37,0967741935484
"445";"33002 Aller";10413;3128;30,0393738595986
"446";"31011 Allín/Allin";874;240;27,4599542334096
"447";"31012 Allo";960;296;30,8333333333333
"448";"44022 Alloza";572;194;33,9160839160839
"449";"44023 Allueva";24;9;37,5
"450";"25019 Almacelles";6826;1338;19,6015235862877
"451";"29009 Almáchar";1817;408;22,4545954870666
"452";"13011 Almadén";5200;1395;26,8269230769231
"453";"41009 Almadén de la Plata";1307;312;23,8714613618975
"454";"13012 Almadenejos";405;127;31,358024691358
"455";"19020 Almadrones";55;10;18,1818181818182
"456";"13013 Almagro";8905;1614;18,1246490735542
"457";"42017 Almajano";191;40;20,9424083769633
"458";"42018 Almaluez";130;70;53,8461538461538
"459";"02009 Almansa";24511;4682;19,1016278405614
"460";"24004 Almanza";581;201;34,5955249569707
"461";"10019 Almaraz";1726;302;17,4971031286211
"462";"49007 Almaraz de Duero";401;190;47,3815461346633
"463";"16015 Almarcha, La";378;120;31,7460317460317
"464";"29010 Almargen";1947;432;22,1879815100154
"465";"42019 Almarza";602;184;30,5647840531561
"466";"26012 Almarza de Cameros";32;10;31,25
"467";"46032 Almàssera";7438;1310;17,6122613605808
"468";"12009 Almassora";26742;3877;14,4977937327051
"469";"25020 Almatret";305;115;37,7049180327869
"470";"42020 Almazán";5477;1315;24,0094942486763
"471";"42021 Almazul";62;29;46,7741935483871
"472";"12010 Almedíjar";244;85;34,8360655737705
"473";"13014 Almedina";500;156;31,2
"474";"14004 Almedinilla";2370;537;22,6582278481013
"475";"18016 Almegíjar";337;114;33,8278931750742
"476";"49008 Almeida de Sayago";437;206;47,1395881006865
"477";"25021 Almenar";3357;794;23,6520703008639
"478";"42022 Almenar de Soria";232;87;37,5
"479";"12011 Almenara";6090;1133;18,6042692939245
"480";"47008 Almenara de Adaja";22;10;45,4545454545455
"481";"37027 Almenara de Tormes";287;59;20,5574912891986
"482";"37028 Almendra";142;69;48,5915492957746
"483";"06010 Almendral";1239;292;23,5673930589185
"484";"45011 Almendral de la Cañada";323;140;43,343653250774
"485";"06011 Almendralejo";33855;5504;16,2575690444543
"486";"21003 Almendro, El";840;189;22,5
"487";"16016 Almendros";239;91;38,0753138075314
"488";"41010 Almensilla";6175;703;11,3846153846154
